DocNum,DocDate,Part Number,Dscription,Quantity,U_MIS_LotNo,WhsCode
226506659,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26821A37Q10,FGL-2
226506658,9/10/2026,AS28/04,SHAFT,1000,26730B48Q820,FGL-2
226506657,9/10/2026,703-85148-1,THROTTLE SHAFT,1000,26903C22Q12,FGL-2
226506656,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26906A57Q11,FGL-2
226506655,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26906A57Q10,FGL-2
226506654,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26907D23Q10,FGL-2
226506653,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26905D26Q10,FGL-2
226506652,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26904B72Q11,FGL-2
226506651,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26905B73Q11,FGL-2
226506650,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26906B17Q10,FGL-2
226506649,9/10/2026,A4029-194-02-000,VALVE SEAT,2469,26907A54Q10,FGL-2
226506648,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26905A33Q10,FGL-2
226506647,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26905D24Q10,FGL-2
226506646,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26905B72Q11,FGL-2
226506645,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26907A37Q10,FGL-2
226506644,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26907B17Q10,FGL-2
226506643,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26907D20Q10,FGL-2
226506642,9/10/2026,A4029-194-02-000,VALVE SEAT,2100,26907A36Q11,FGL-2
226506641,9/10/2026,AS46/04,STOPPER,2000,26826A39Q11,FGL-2
226506640,9/10/2026,700-63008,SHAFT,500,26807B36Q12,FGL-2
226506639,9/10/2026,700-63008,SHAFT,1000,26807B36Q11,FGL-2
226506638,9/10/2026,AS46/04,STOPPER,3000,26902A39Q10,FGL-2
226506637,9/10/2026,AS10/55,PLUNGER,500,26730A07Q866,FGL-2
226506636,9/10/2026,AS47/03,ROD,3000,26908D06Q10,FGL-2
226506635,9/10/2026,AS47/03,ROD,2000,26908B71Q12,FGL-2
226506634,9/10/2026,AS47/03,ROD,2000,26908B70Q11,FGL-2
226506633,9/10/2026,AS47/03,ROD,1000,26908B71Q11,FGL-2
226506632,9/10/2026,703-84043-1,THROTTLE SHAFT,2000,26907C18Q10,FGL-2
226506631,9/10/2026,703-84043-1,THROTTLE SHAFT,2000,26907C10Q10,FGL-2
226401324,9/10/2026,AS10/55-Q01,PLUNGER-Q01,1948,26730A07S160,WIPQC-2
226401323,9/10/2026,AS10/55-Q01,PLUNGER-Q01,1531,26730A07S150,WIPQC-2
226401322,9/10/2026,AS10/55-Q01,PLUNGER-Q01,1939,26730A07S1100,WIPQC-2
226401321,9/10/2026,AS46/04-Q01,STOPPER-Q01,3094,26903A52S110,WIPQC-2
226216990,9/10/2026,703-84043-1-B03,THROTTLE SHAFT-B03,996,26908C10M10,WIPMF2-2
226216989,9/10/2026,703-87241-B03,THROTTLE SHAFT-B03,917,26904B36M10,WIPMF2-2
226216988,9/10/2026,703-86339-B01,THROTTLE SHAFT-B01,397,26901B36M11,WIPMF2-2
226216987,9/10/2026,703-85148-1-B04,THROTTLE SHAFT-B04,1000,26909C22M10,WIPMF2-2
226216986,9/10/2026,703-84043-1-B01,THROTTLE SHAFT-B01,839,26907C18M11,WIPMF2-2
226216985,9/10/2026,703-84043-1-B06,THROTTLE SHAFT-B06,839,26907C18M11,WIPMF2-2
226216984,9/10/2026,703-86339-B01,THROTTLE SHAFT-B01,360,26901B36M10,WIPMF2-2
226216983,9/10/2026,703-86339-B06,THROTTLE SHAFT-B06,397,26901B36M11,WIPMF2-2
226216982,9/10/2026,703-84043-1-B03,THROTTLE SHAFT-B03,1000,26907C18M10,WIPMF2-2
226216981,9/10/2026,703-84043-1-B04,THROTTLE SHAFT-B04,1000,26909C10M10,WIPMF2-2
226216980,9/10/2026,AS28/04-B03,SHAFT-B03,2000,26730B48M10,WIPMF2-2
226216979,9/10/2026,AS28/04-B03,SHAFT-B03,2000,26730B48M10,WIPMF2-2
226216978,9/10/2026,703-86339-B06,THROTTLE SHAFT-B06,360,26901B36M10,WIPMF2-2
226216977,9/10/2026,703-84043-1-B01,THROTTLE SHAFT-B01,1003,26908C10M10,WIPMF2-2
226216976,9/10/2026,703-84043-1-B03,THROTTLE SHAFT-B03,297,26907C12M11,WIPMF2-2
226216975,9/10/2026,703-84043-1-B03,THROTTLE SHAFT-B03,459,26907C10M11,WIPMF2-2
226216974,9/10/2026,703-84043-1-B03,THROTTLE SHAFT-B03,522,26907C12M10,WIPMF2-2
226216973,9/10/2026,703-84043-1-B04,THROTTLE SHAFT-B04,300,26908C12M13,WIPMF2-2
226216972,9/10/2026,703-84043-1-B04,THROTTLE SHAFT-B04,1000,26909C12M11,WIPMF2-2
226216971,9/10/2026,703-84043-1-B04,THROTTLE SHAFT-B04,300,26908C12M12,WIPMF2-2
226216970,9/10/2026,703-84043-1-B06,THROTTLE SHAFT-B06,1003,26908C10M10,WIPMF2-2
126550269,9/10/2026,1675223-00,"SHAFT,TR,GUIDE;B",600,26908D50Q10,WHFGL
126550268,9/10/2026,1A6524500,"SHAFT,MOTOR,DECURL",5,26829B62Q10,WHFGL
126550267,9/10/2026,149905001,"SHAFT,MOVABLE BLADE,BLIND",5,26822B52Q12,WHFGL
126550266,9/10/2026,149105402,"SHAFT,PW ADJUST,FRONT,UPPER",5,26821B48Q14,WHFGL
126550265,9/10/2026,3367-KVK1-0000,STOPPER NEEDLE VALVE,5000,26901D07Q11,WHFGL
126550264,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26901B01Q11,WHFGL
126550263,9/10/2026,3367-KVK1-0000,STOPPER NEEDLE VALVE,5000,26905D07Q10,WHFGL
126550262,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26903B05Q10,WHFGL
126550261,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26829B05Q10,WHFGL
126550260,9/10/2026,3367-KVK1-0000,STOPPER NEEDLE VALVE,5000,26905D38Q11,WHFGL
126550259,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26903B09Q10,WHFGL
126550258,9/10/2026,205-00576-00,B7E JC BUSH 2,2000,26826A30Q11,WHFGL
126550257,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26901B04Q11,WHFGL
126550256,9/10/2026,3693-KVK1-0000,KILLER MAGNET,2500,26903B07Q10,WHFGL
126550255,9/10/2026,161668702,"SHAFT,CR,GUIDE;B",2200,26902D46Q10,WHFGL
126550254,9/10/2026,1610844-03,SHAFT COVER REAR OPT,200,26907A10Q10,WHFGL
126550253,9/10/2026,1694038-00,"SHAFT,GUIDE,CR",1000,26902B44Q10,WHFGL
126550252,9/10/2026,1903688-00,"PIN,LOCATE,RIGHT COVER,DUP",50,26804A35Q12,WHFGL
126550251,9/10/2026,1903688-00,"PIN,LOCATE,RIGHT COVER,DUP",100,26804A35Q11,WHFGL
126550250,9/10/2026,1873233-00,"ROLLER,DRIVEN,HEAD,LEFT,BAS",2000,26901B23Q12,WHFGL
126550249,9/10/2026,1687373-00,"SHAFT,SPUR GEAR,13.5",3000,26901B21Q10,WHFGL
126550248,9/10/2026,2244054-8A,CAP BUTTON Z-15GQ,1500,26826A21Q816,WHFGL
126550247,9/10/2026,1671366-00,SHAFT ROLLER DRIVEN ADF,1000,26903C05Q12,WHFGL
126550246,9/10/2026,1903688-00,"PIN,LOCATE,RIGHT COVER,DUP",100,26304A35Q12,WHFGL
126550245,9/10/2026,1792570-01,"SHAFT,CR,SC",200,26819A18Q12,WHFGL
126550244,9/10/2026,3643-GGZ0-00A0-00M0,PLUNGER (BLANK),500,26908C24Q11,WHFGL
126550243,9/10/2026,110382203,"SHAFT,CR,GUIDE",600,26826C13Q11,WHFGL
126550242,9/10/2026,205-00575-00,B7E JC BUSH 1,1500,26826A11Q10,WHFGL
126550241,9/10/2026,205-00575-00,B7E JC BUSH 1,1000,26820A44Q10,WHFGL
126550240,9/10/2026,1906671-00,"SHAFT,DRIVE,RETARD,OPT1",400,26901B22Q10,WHFGL
126550239,9/10/2026,1682475-00,"SHAFT COMBINATION GEAR,18.4.9.6 DOUBLE",1500,26727B27Q10,WHFGL
126550238,9/10/2026,5TN-E5138-00,NOZZLE,400,26902B59Q13,WHFGL
126550237,9/10/2026,1689159-00,"SHAFT,FRAME,COVER,REAR,1ST,MPT",250,26601D41Q14,WHFGL
126550236,9/10/2026,193199300,"SHAFT, COVER, CASETTE",2000,26907D03Q11,WHFGL
126550235,9/10/2026,1687990-00,"SHAFT,DRIVEN,PF2,ADF",1000,26819D04Q14,WHFGL
126550234,9/10/2026,205-00576-00,B7E JC BUSH 2,2400,26901A28Q11,WHFGL
